ville;hors_centre_ville;cv;part_de_la_population_vivant_en_CV;total
Abbeville;20657;1951;9%;22608
Arras;36060,5;5124;12%;41184,5
Beauvais;49851;5203,5;9%;55054,5
Béthune;21867;3340;13%;25207
Boulogne-sur-Mer;32734,5;10449,5;24%;43184
Bruay-la-Buissière;22574;1033,5;4%;23607,5
Calais;60091;12207;17%;72298
Cambrai;30242,5;2306,5;7%;32549
Château-Thierry;14502,5;1010;7%;15512,5
Compiègne;35794,5;2962,5;8%;38757
Creil;29817,5;3940,5;12%;33758
Denain;18806,5;2439;11%;21245,5
Douai;39262;5193,5;12%;44455,5
Dunkerque;84825,5;7063;8%;91888,5
Laon;21171;2474;10%;23645
Lens;29374,5;4066,5;12%;33441
Liévin;29512,5;1202;4%;30714,5
Maubeuge;29131,5;1595;5%;30726,5
Saint-Omer;11320,5;4116,5;27%;15437
Saint-Quentin;49241;5488,5;10%;54729,5
Senlis;13375,5;1654,5;11%;15030
Soissons;26410,5;2859,5;10%;29270
Valenciennes;38384;6442,5;14%;44826,5
Total général;745007;94122,5;11%;839129,5
